Year,Tipo Vivienda,Units,Value
2015,,Número Total,2799
2015,Sin techo,Número Total,945
2015,Sin vivienda,Número Total,996
2015,Vivienda insegura,Número Total,424
2015,Vivienda inadecuada,Número Total,434
2017,,Número Total,3383
2017,Sin techo,Número Total,1227
2017,Sin vivienda,Número Total,1303
2017,Vivienda insegura,Número Total,438
2017,Vivienda inadecuada,Número Total,415
2019,,Número Total,3684
2019,Sin techo,Número Total,1286
2019,Sin vivienda,Número Total,1338
2019,Vivienda insegura,Número Total,562
2019,Vivienda inadecuada,Número Total,498
