Year,Tipo de embarcación,Units,Value
2015,Embarcaciones de Artes menores,Número Total,2
2016,Embarcaciones de Artes menores,Número Total,2
2017,Embarcaciones de Artes menores,Número Total,2
2018,Embarcaciones de Artes menores,Número Total,2
2019,Embarcaciones de Artes menores,Número Total,2
2015,Embarcaciones de Arrastre,Número Total,12
2016,Embarcaciones de Arrastre,Número Total,12
2017,Embarcaciones de Arrastre,Número Total,10
2018,Embarcaciones de Arrastre,Número Total,10
2019,Embarcaciones de Arrastre,Número Total,10
2015,Embarcaciones Cerqueras,Número Total,22
2016,Embarcaciones Cerqueras,Número Total,22
2017,Embarcaciones Cerqueras,Número Total,21
2018,Embarcaciones Cerqueras,Número Total,15
2019,Embarcaciones Cerqueras,Número Total,15
2015,Embarcaciones Auxiliares,Número Total,0
2016,Embarcaciones Auxiliares,Número Total,1
2017,Embarcaciones Auxiliares,Número Total,1
2018,Embarcaciones Auxiliares,Número Total,1
2019,Embarcaciones Auxiliares,Número Total,1
2015,,Número Total,36
2016,,Número Total,37
2017,,Número Total,34
2018,,Número Total,28
2019,,Número Total,28
